,Name,Address,Latitude,Longitude
121,Joo Chiat (DS),15 Lorong K Telok Kurau,1.312555,103.9074887
122,Jurong Central Blk 308 (CC),Blk 308 Jurong East St 32,1.3472998,103.7346213
123,Jurong Central Blk 403 (CC),Blk 403 Jurong West St 42,1.3538264,103.7214044
124,Jurong Central Blk 404 (CC),Blk 404 Jurong West St 42,1.353858,103.7226267
125,Jurong Central Blk 490 (KN),Blk 490 Jurong West Ave 1,1.349803,103.727379
126,Jurong Spring Blk 455 (CC,Blk 455 Jurong West St 42,1.3511044,103.7184672
127,Jurong Spring Blk 465 (KN),Blk 465 Jurong West St 41,1.3501981,103.7232638
128,Jurong Spring Blk 515 (EY),Blk 515 Jurong West St 52,1.34633,103.7206383
129,Jurong Spring Blk 528 (DS),Blk 528 Jurong West St 52,1.3483286,103.7170188
130,Jurong Spring Blk 553 (CC),Blk 553 Jurong West St 42,1.3532203,103.7190422
131,Kaki Bukit Blk 519 (KN),Blk 519 Bedok North Ave 1,1.3310534,103.9288907
132,Kaki Bukit Blk 525 (CC),Blk 525 Bedok North St 3,1.3347268,103.9290365
133,Kaki Bukit Blk 526 (KN),Blk 526 Bedok North St 3,1.333838,103.929283
134,Kampong Chai Chee Blk 131 (CC),Blk 131 Bedok North Ave 3,1.3269324,103.9357439
135,Kampong Chai Chee Blk 135 (KN),Blk 135 Bedok North St 2,1.3270224,103.9359128
136,Kampong Chai Chee Blk 409 (CC),Blk 409 Bedok North Ave 2,1.3281186,103.9330246
137,Kampong Chai Chee Blk 424 (CC),Blk 424 Bedok North Ave 1,1.3283483,103.9274843
138,Kampong Chai Chee Blk 775 (KN),Blk 775 Bedok Reservoir View,1.3365968,103.9357723
139,Kampong Glam Blk 462 (DS),Blk 462 Crawford Lane,1.304635,103.861205
140,Keat Hong Blk 287 (CC),Blk 287 Choa Chu Kang Ave 2,1.3793266,103.7415428
141,Keat Hong Blk 353 (CC),Blk 353 Choa Chu Kang Central,1.3820924,103.7433618
142,Keat Hong Blk 295 (DS,Blk 295 Choa Chu Kang Ave 2,1.3782323,103.7406376
143,Keat Hong Blk 411 (DS),Blk 411 Choa Chu Kang Ave 3,1.3810796,103.7413192
144,Keat Hong Blk 435 (CC),Blk 435 Choa Chu Kang Ave 4,1.3851398,103.7410676
145,Keat Hong Blk 448 (CC),Blk 448 Choa Chu Kang Ave 4,1.3804524,103.7371077
146,Keat Hong Blk 484 (CC),Blk 484 Choa Chu Kang Avenue 5,1.3755965,103.7393375
